망장애작업일련번호|망장애작업복구번호|복구소요시간;
10612544600|2785782|4;
10612544600|2785038|4;
10612544600|2785043|4;
10612544600|2785044|4;
10612544600|2785334|4;
10612544600|2785346|4;
10612544600|2785419|4;
10612544600|2785427|4;
10612544600|2785428|4;
10612544600|2785431|4;
10612544600|2785433|4;
10612544600|2785674|4;
10612544600|2785680|4;
10612544600|2785682|4;
10612544600|2785688|18;
10612544600|2785622|4;
10612544600|2785623|4;
10612544600|2785624|4;
10612544600|2785626|4;
10612544600|2785632|4;
10612544600|2785633|4;
10612544600|2785519|4;
10612544600|2785540|4;
10612544600|2785541|4;
10612494200|2785161|4;
10612494200|2785031|4;
10612494200|2785032|4;
10612494200|2785033|4;
10612494200|2785413|4;
10612494200|2785414|4;
10612494200|2784968|4;
10612494200|2785499|4;
10612583400|2785437|4;
10612444300|2784958|3;
10612582300|2785047|4;
10612584800|2785259|4;
10612584800|2785786|4;
10612584800|2785787|4;
10612584800|2785788|4;
10612584800|2785048|4;
10612584800|2785348|6;
10612584800|2785690|4;
10612582600|2785347|5;
10612585100|2785260|5;
5577890903|1|165;
10612582200|2785785|5;
10612583500|2785262|7;
10612588000|2785263|5;
9803592|2785264|16;
10612590900|2785790|4;
5011436680501|2784684|49;
5011436680501|2784590|4;
5011436711601|2784611|39;
5011436734701|2784614|4;
9803203|1|120;
10612584800|2785438|4;
10612584800|2785439|4;
10612590900|2785791|4;
10612590900|2785792|4;
10612590900|2785050|4;
10612590900|2785051|4;
10612590900|2785349|4;
10612590900|2785442|4;
10612584500|2785441|4;
10612585200|2785643|30;
10612587800|2785559|22;
5577650703|1|710;
5577593503|1|835;
9803311|2785560|16;
9803311|2785561|16;
10612594000|2785563|2;
10612593100|2785562|7;
10612593900|2785564|2;
10612593900|2785644|3;
10612583600|2785556|5;
10612592100|2785566|14;
5577984703|1|54;
10612584900|2785695|41;
9803839|2785055|27;
10612590900|2785637|4;
10612590900|2785638|4;
9802802|1|60;
9803302|2785054|30;
5011432122901|2773235|4;
5011434117801|2778414|42;
5578004503|1|10;
10612582800|2785268|60;
10612594300|2785794|5;
10612583700|2785636|6;
10612585000|2785049|6;
9803772|2785270|10;
10612590400|2785351|3;
10612595100|2785057|5;
10612594900|2785568|5;
10612595700|2785569|5;
10612595500|2785871|4;
10612595500|2785795|4;
10612595500|2785699|4;
10612600600|2785872|5;
10612600600|2785873|5;
10612600600|2785353|5;
10612600600|2785447|5;
10612600600|2785646|5;
10612600600|2785647|5;
10612600600|2785874|5;
9802841|1|120;
10612596100|2785700|10;
9803641|2785355|54;
9803641|2785448|54;
9803640|2785356|54;
9803432|2785449|54;
9803638|2785357|55;
9803434|2785358|55;
9803433|2785359|55;
10612506900|2785877|117;
9803844|2785058|25;
5578018603|1|10;
10612224100|2785265|1407;
10612224100|2785445|1411;
10612224100|2785446|1421;
10612224100|2785640|1408;
10612224100|2785645|1418;
10612224100|2785567|1418;
9801914|2785367|89;
9802919|2785368|49;
10612599900|2785712|19;
10612610500|2785714|5;
10612600000|2785883|21;
10612610900|2785715|5;
